Title,Description,Type
Tender Management Application (TAM),,External Links
Tenders ,,External Links
The Federal Informal Conflict Management Systems Network,,External Links
The Global Partnership for Education ,,External Links
The Government of Canada's Email Transformation Initiative (ETI),,External Links
The HR Experts' corner,,External Links
The Human Resources Council (HRC) ,,External Links
The Institute of Internal Auditors Canada,,External Links
The mindfulness difference,,External Links
The new Key leadership competencies (TBS),,External Links
The Open Government Learning Hub,,External Links
The Policy Community on Twitter,,External Links
The Results Agenda,,External Links
The Results Portal,,External Links
The Right Honourable Justin Trudeau - Pink Shirt Day,,External Links
Third Biennial Plan to the Open Government Partnership ,,External Links
Track Changes Podcasts - Episodes (Privy Council Office),,External Links
Trade Agreements,,External Links
Trade Agreements Thresholds ,,External Links
Training offered by Statistics Canada ,,External Links
Transforming Service to Canadians: the Service Canada model,,External Links
Transforming the citizen experience - One Stop Shop for public services,,External Links
Transportation Management System (TMS) ,,External Links
Treasury Board Guidelines on the Proactive Disclosure of Contracts ,,External Links
Treasury Board of Canada Secretariat,,External Links
Treasury Board Secretariat -  Guideline on Service Management ,,External Links
Treasury Board Secretariat - Guideline on Service Standards,,External Links
Treasury Board Secretariat - Official Languages in the public service ,,External Links
Treasury Board Secretariat - Policy on Service ,,External Links
Using your Mobile Device Securely,,External Links
Values and Ethics Code for the Public Sector,,External Links
Web Renewal Initiative,,External Links
Webcast Mindfulness,,External Links
What is the difference between Evaluation and Internal Audit (Policy on Results Guidance),,External Links
Women Entrepreneurship Strategy,,External Links
Working Through It,,External Links
Workplace Balance Booklets,,External Links
Workplace Strategies for Mental Health,,External Links
Workplace wellness,,External Links
Theory-Based Approaches to Evaluations: Concepts and Practices,,External Links
Assessing Program Resources utilization when evaluating federal programs,,External Links
Competencies for Heads of Evaluation and evaluation specialists,,External Links
CORCA,,External Links
Official Languages Hub,,External Links
Beyond2020 and public service renewal ,,External Links
GCintranet,,External Links
GCconnex - Executive Corner   ,,External Links
�� GCpedia � Executive and Leadership Development ,,External Links
 Key Leadership Competences,,External Links
,,
,,
,,
,,
Blogs,,
,,
A good policy is one that�,,Blogs
A Personal Perspective on Leadership Practice and Development in Canada�s Public Service,,Blogs
,,Blogs
Canoeing as a Tool for Understanding Change and Transformation in the Public Service,,Blogs
Change is the water we swim in,,Blogs
"Churchill's ""Darkest Hour""","The 2017 film and companion volume, ""Darkest Hour"" recounts how Winston Churchill, upon becoming Prime Minister of the U.K. in the first year of World War II, gave three historic speeches to galvanize the will of his Cabinet colleagues, parliamentarians and the nation as a whole to fight on against Nazi Germany in the face of impossible odds. This blog highlights those speeches and a follow-up blog will canvass Churchill's rhetorical devices.",Blogs
"Churchill's ""Scaffolding of Rhetoric""","In my previous blog, I wrote about �Darkest Hour�, the film based on Anthony McCarten�s book of the same title, which describes Winston Churchill�s prowess as an orator at the outset of the Second World War. As promised, this new blog highlights the rhetorical devices used by Churchill, according to McCarten.",Blogs
,,Blogs
"Connecting the dots: change, transformation, organizational culture and leadership","How are change, transformation, organizational culture and leadership related?  Read on, and I will offer an explanation.  What I�d like to know from you, as change practitioners, is how do these concepts fit with your experience?  ",Blogs
Creating a Vision is a Team Sport: Leading a Business Transformation in Canada�s Public Service � Lessons Learned (Part 2),,Blogs
Do Your Homework and Be Ready for the Stars to Align,,Blogs
Expect it to be Messy and Contested: Leading a Business Transformation in Canada�s Public Service � Lessons Learned (Part 1),,Blogs
Expect the Plans to Change: Leading a Business Transformation in Canada�s Public Service � Lessons Learned (Part 3),,Blogs
Framing issues for decision,,Blogs
Having Difficult Conversations: Unmasking the Fear Behind It...,,Blogs
Hello? Is Anybody Out There?,,Blogs
How can I lead change if I am not a manager?,"I am experiencing something ironic...a bit of a conundrum.  I�ve spent most of my 35 year career as a manager. But now, for the last few years I have been working in advisory roles.  It has been a while since I�ve had management authority or responsibility, and to be honest, some days I find myself struggling to lead change.",Blogs
How to obtain Cabinet approval of a policy � Part 1,,Blogs
How to obtain Cabinet approval of a policy � Part 2,,Blogs
How to stay awake during loooong conference calls!,,Blogs
How to think about a Treasury Board submission,,Blogs
Implementing the Agenda,,Blogs
"Leadership Lessons from Martin Gilbert�s ""Continue to Pester, Nag and Bite"" (Part I)",,Blogs
"Leadership Lessons from Martin Gilbert�s Continue to Pester, Nag and Bite (Part II)",,Blogs
Leadership Matters,,Blogs
Leading Transformation in the Canadian Public Service � Can We Do It Better?,,Blogs
Learning to Transform is an Ongoing Process: Leading a Business Transformation in Canada�s Public Service � Lessons Learned (Part 4),,Blogs
Lessons Learned from Leading Routine Change in Canada�s Public Service,,Blogs
Meta-Management,,Blogs
Motivating Employees; how is that a Manager's Job?,,Blogs
My Leadership Narrative,"The following sets out the values and principles that guide my leadership. Writing such a statement is an effective way of distilling what constitutes the core of your personal leadership. Some of the School's leadership development programs encourage participants to draft their own narrative. I encourage you to do so also. Try it, you'll like it!",Blogs
Online Learning and Digital Marketing: How are they Related?,,Blogs
"Out of sight, Out of mind",,Blogs
Partisan and non-partisan advice,,Blogs
Project Management...Passionate about it,,Blogs
Selected Bibliography of Management Writings,,Blogs
Setting the Government�s Strategy,,Blogs
Stepping out of my comfort zone: Finding ways to lead change and transformation,,Blogs
The Changing Field of Learning Design: Six Steps to Get Ready for Online Learning,,Blogs
Treasury Board�s role in policy implementation,,Blogs
What is Management Really About? �,,Blogs
"What is transformation, what isn�t, and why does this distinction matter?",,Blogs
Who and Why?,,Blogs
Working with a Minister�s staff,,Blogs
You are a new manager � Now What?,,Blogs
,,
,,
,,
Cases Studies,,
,,
Canada Revenue Agency and the Respectful Workplace Campaign,"This is a case study of how one organization worked to create a respectful workplace environment as a means of retaining and developing its staff. The IT Branch was faced with competition for valued IT staff and recognizing that it wanted a positive culture in which to generate ideas and services for its agency. The IT Branch decided to engage staff in ways to make the workplace more positive and inviting. It engaged in both a top-down, research and strategy driven effort combined with an all- hands engagement process to come up with a series of ways to create a respectful workplace. These efforts were supported over time and produced measureable results in terms of staff attitude and in retention success. This is a good case for those interested in producing work- floor level cultural change as well as in improving the ways staff interact in all directions in a truly respectful and productive fashion.",Case Studies
"Immigration, Refugees, Citizenship Canada � A Biometrics Screening Story","In the last decade, the Government decided to implement biometric screening on a larger scale. Explore the policy development process which made this priority a reality through a case study on the Temporary Resident Biometrics Project.",Case Studies
Passport Canada: Organizational Transformation in the Face of Policy and Demand Shifts,"When the United States imposed passport requirements on Canadians landing by air, a crisis was sparked at Passport Canada that exposed certain cultural and managerial weaknesses that had been developing over time. The response to the first wave of this change and preparation for the second wave enabled the leadership of Passport Canada to address the immediate situation with a series of measures designed to address the cultural fault lines as well as to just get through the day in crisis mode. The course of the response, still under way several years after the initiating event, represented a major transformation for this organization. Much can be learned from this transformation about the relationship between operating culture and outcomes, the need for internal cohesion in basic values, the role played by analytical information and not just data and the need for senior managerial focus on core cultural values in the resolution of an immediate threat. Finally, this is a very interesting case of how organizations learn from their challenges, their initial response and corrective measures.",Case Studies
,,
,,
Jobs Aids,,
,,
Access documents in GCdocs16 - Classic View interface,Working with documents and items in GCdocs16 - How to access documents,Job Aids
Action verbs for more precise SMART objectives,Both employees and managers may use this job-aid to make their work and learning objectives as precise as possible.,Job Aids
Add and remove shortcuts in GCdocs16 - Classic View interface ,Working with containers in GCdocs16 - How to add and remove shortcuts,Job Aids
Add and remove URLs in GCdocs16 - Classic View interface,Working with containers in GCdocs16 - How to add and remove URLs,Job Aids
Add email in GCdocs16 - Classic View interface,Working with documents and items in GCdocs16 - How to add email,Job Aids
Add existing documents - Classic View interface,Working with documents and items in GCdocs16 - How to add existing documents,Job Aids
Add existing documents using the drag and drop method � Classic View interface,Working with documents and items in GCdocs16 - How to add existing documents using the drag and drop method,Job Aids
Add folders and email folders in GCdocs16 - Classic View interface,Working with containers in GCdocs16 - How to add folders and email folders,Job Aids
Add new documents � Classic View interface,Working with documents and items in GCdocs16 - How to add new documents,Job Aids
Appreciative Inquiry,"Appreciative Inquiry (AI) is a change management approach that focuses on identifying what is working well, analyzing why it is working well and then doing more of it. The basic tenet of AI is that an organization will grow in whichever direction that people in the organization focus their attention. If all the attention is focused on problems, then identifying problems and dealing with them is what the organization will do best. If all the attention is focused on strengths, however, then identifying strengths and building on those strengths is what the organization will do best.",Job Aids
Are your objectives S.M.A.R.T.?,Both managers and employees may use this job-aid when developing work objectives to ensure they are SMART.,Job Aids
Armed Intruder: Do you know what to do? Information Sheet,"Although security teams and police forces around the world work hard to keep us safe, armed intruders are increasingly invading our public and private spaces.  You may never face an armed intruder in your workplace, but if the unthinkable happens, do you know what to do?   An awareness package was developed to increase awareness and provide guidance on what to do in the event of an armed intruder situation, which included this quick reference tool that can be printed and posted in your workspace as a reminder of the options you have, that could help make a difference.",Job Aids
Armed Intruder: Do you know what to do? Pocket card,"Although security teams and police forces around the world work hard to keep us safe, armed intruders are increasingly invading our public and private spaces.  You may never face an armed intruder in your workplace, but if the unthinkable happens, do you know what to do?   An awareness package was developed to increase awareness and provide guidance on what to do in the event of an armed intruder situation, which included this pocket card that can be printed and placed in the pouch with your ID card as a reminder of the options you have, that could help make a difference.",Job Aids
Armed Intruder: Do you know what to do? Poster (11 x 17),"Although security teams and police forces around the world work hard to keep us safe, armed intruders are increasingly invading our public and private spaces.  You may never face an armed intruder in your workplace, but if the unthinkable happens, do you know what to do?   An awareness package was developed to increase awareness and provide guidance on what to do in the event of an armed intruder situation, which included this 11 x 17 inch poster that can be printed and hung in your workplace to encourage employees to either visit GCcampus or contact their security team for more information on what to do in this type of situation.",Job Aids
Armed Intruder: Do you know what to do? Poster (24 x 36),"Although security teams and police forces around the world work hard to keep us safe, armed intruders are increasingly invading our public and private spaces.  You may never face an armed intruder in your workplace, but if the unthinkable happens, do you know what to do?   An awareness package was developed to increase awareness and provide guidance on what to do in the event of an armed intruder situation, which included this 24 x 36 inch poster that can be printed and hung in your workplace to encourage employees to either visit GCcampus or contact their security team for more information on what to do in this type of situation.",Job Aids
Bid-Rigging,Bid-Rigging,Job Aids
Briefing Notes Job Aid,Need to build a briefing note now?  Follow the steps in this interactive tool.,Job Aids
Building Options And Recommendations,"Policy development job aid: story-telling and decision-making 
This tool will allow you to establish options and make an evidence-based recommendation.
",Job Aids
Chairing Bilingual Meetings,"In the spirit of the Official Languages Act, some practices apply to any meeting held in a designated bilingual region for language-of-work purposes, where participants belong to both linguistic groups.",Job Aids
Collaboration For Results : Key Players,Discover Collaboration For Results : Key Players how Results and Delivery flow within an organization.,Job Aids
Communications Delivery Checklist,Implement the strategy or plan and assess its impact and effects on target audiences so as to identify components that require improvement.,Job Aids
Communications Evaluation Checklist,Carry out a post-program evaluation of the effectiveness of the communications strategy so as to demonstrate its contribution to the organization�s objectives and to document lessons learned.,Job Aids
Communications Planning Checklist,Interpret issues and opportunities to senior management and formulate a communications plan / strategy that includes SMART communications objectives.,Job Aids
"Create, add items to, and remove Collections in GCdocs16 - Classic View interface","Working with containers in GCdocs16 - How to create, add items to, and remove Collections ",Job Aids
Dealing With Clients,A simple list of things you should do and things you should not do in dealing with clients.,Job Aids
Delete documents � Classic View interface,Working with documents and items in GCdocs16 - How to delete documents,Job Aids
Effective Journaling Questions,"A leadership journal provides individuals the opportunity to ask questions and probe deeper into ideas, thoughts and actions. It provides a place for individuals to articulate their thinking process. This job aid provides basic guidelines for keeping a leadership journal.",Job Aids
Email Management,Email Management,Job Aids
Employer-Employee Relationship Checklist,Employer-Employee Relationship Checklist,Job Aids
Fleet Management Key Elements to Consider,Fleet Management Key Elements to Consider,Job Aids
GCconnex and GCpedia - An easy climb to successful collaboration,"Technology allows public servants to work smarter and solve problems more effectively by facilitating engagement, collaboration, information sharing and innovation.",Job Aids
GCdocs16 learning roadmap,Start your GCdocs16 journey by downloading the GCdocs16 learning roadmap.,Job Aids
GCdocs16 Smart View Interface Quick Reference Guide,A guide to the most commonly used functions in the GCdocs16 Smart View Interface.,Job Aids
How to access documents,"This job aid helps you to manipulate documents and elements in GCdocs, including how to access documents in the system.",Job Aids
How to add and purge versions in GCdocs16 � Classic View,Working with Version Control in GCdocs16 - How to add and purge versions in GCdocs16,Job Aids
How to add and remove shortcuts,This job aid explains how to add and remove shortcuts while working with containers in GCdocs.,Job Aids
How to add and remove URLs in Gcdocs,Working with Containers in GCdocs - How to add and remove URLs,Job Aids
How to add e-mail,Working with Documents and Items in GCdocs - How to add e-mail,Job Aids
How to add existing documents,Working with Documents and Items in GCdocs - How to add existing documents,Job Aids
How to add existing documents using the drag and drop method,Working with Documents and Items in GCdocs - How to add existing documents using the drag and drop method,Job Aids
How to add folders and e-mail folders,Working with Containers in GCdocs - How to add folders and e-mail folders,Job Aids
How to add new documents,Working with Documents and Items in GCdocs - How to add new documents,Job Aids
"How to add, access, organize and remove documents in favorites","Working with Containers in GCdocs - How to add, access, organize and remove documents in favorites",Job Aids
"How to add, purge and promote to major versions in GCdocs","Working with Version Control in GCdocs - How to add, purge and promote to major versions in GCdocs",Job Aids
"How to create, add documents to and remove collections","Working with Containers in GCdocs - How to create, add documents to and remove collections",Job Aids
How to delete documents,Working with Documents and Items in GCdocs - How to delete documents,Job Aids
How To Foster Public Engagement,"Policy development job aid: consultation and participation
This work tool will help you ensure that your consultation strategy is effective. 
",Job Aids
How to manage document properties,Working with Documents and Items in GCdocs - How to manage document properties,Job Aids
How to manage permissions,Working with Documents and Items in GCdocs - How to manage permissions,Job Aids
How to modify your display in GCdocs,Getting started with GCdocs - How to modify your display,Job Aids
How to modify your profile and settings in GCdocs,Getting started with GCdocs  - How to modify your profile and settings,Job Aids
How to navigate the GCdocs and Enterprise Connect interface,Getting started with GCdocs - How to navigate the GCdocs and Enterprise Connect interface,Job Aids
How to perform a quick search,Working with the Search Features in GCdocs - How to perform a quick search,Job Aids
How to perform an advanced search,Working with the Search Features in GCdocs - How to perform an advanced search,Job Aids
How to recover deleted items,Working with Documents and Items in GCdocs - How to recover deleted items,Job Aids
How to rename a document in GCdocs,Working with Documents and Items in GCdocs - How to rename a document,Job Aids
How to save search results and queries,Working with the Search Features in GCdocs - How to save search results and queries,Job Aids
How to send e-mail links and save e-mail attachments,Working with Documents and Items in GCdocs - How to send e-mail links and save e-mail attachments,Job Aids
How to view versions and modify settings in GCdocs,Working with Version Control in GCdocs - How to view versions and modify settings in GCdocs,Job Aids
"How to view versions, modify settings and promote versions in GCdocs16 � Classic View","Working with Version Control in GCdocs16 - How to view versions, modify settings and promote versions in GCdocs16",Job Aids
How to work with search results,Working with the Search Features in GCdocs - How to work with search results,Job Aids
Implementation Strategy,"Policy development job aid: implementation plan  
This work tool will allow you to check that your implementation plan and planning continue to be viable.
",Job Aids
Information Resources: What to Keep and What to Delete,This decision tree will help you determine whether or not you need to keep your information resources.,Job Aids
Internal Communications Job Aids,"This page contains the tools, resources and information that communications officers require to support employees and organizational success, and to meet the unique challenges of change initiatives.",Job Aids
"Launch, sign in and log out of GCdocs16 - Classic View interface","Getting started with GCdocs16 - How to launch, sign in and log out",Job Aids
"Launch, sign in, log out ","Getting started with GCdocs - How to launch, sign in, log out and change your password",Job Aids
Mac Donald�s Five Keys to Good Policy Analysis ,"Policy development job aid: recognition of the issues
This work tool will allow you to respond systematically to questions that will determine the relevance of developing a policy.",Job Aids
Manage document properties � Classic View interface,Working with documents and items in GCdocs16 - How to manage document properties,Job Aids
Media Relations: How to Handle Unexpected Media Enquiries,"On subjects related to government business, you are not permitted to give media interviews, make comments or discuss official government information with the media unless delegated to do so. Know the protocol on handling unexpected media situations. These processes may vary so check with your department or agency.",Job Aids
Modify your display in GCdocs16 - Classic View interface,Getting started with GCdocs16 - How to modify your display,Job Aids
Modify your profile and settings in GCdocs16 - Classic View interface,Getting started with GCdocs16 - How to modify your profile and settings,Job Aids
Modify your profile in GCdocs16 - Smart View interface,,Job Aids
Moving Back to Resilience 1: Finding Solid Ground,"Stress and the emotional reactions that often come with them are a result of a highly activated nervous system. This can easily displace your mind away from the here-and-now. It�s hard to be effective when you�re not present and clear. How to begin to come back into your zone?

A grounding tool like POINT-SEAT-FEET-ROOT is a very simple way to do this.",Job Aids
My Leadership Narrative � Create Your Own Story,"Leader�s narrative is a practice of leadership. It is the art of translating values into action through stories. It is essentially a �story� that speaks to both the �head� and the �heart�. It promotes understanding, inspires and mobilizing people to act on behalf of shared values and goals. It allows the Leader to communicate to others who he is as a leader, and what he or she �stands for.� Through his or her Narrative, the leader encourages people to interpret why and how they should invest their energies for shared benefit.",Job Aids
Navigate GCdocs16 - Classic View interface,Getting started with GCdocs16 - How to navigate,Job Aids
Perform a quick search � Classic View interface,Working with the search features in GCdocs16 - How to perform a quick search,Job Aids
Perform an advanced search � Classic View interface,Working with the search features in GCdocs16 - How to perform an advanced search,Job Aids
Performance Indicators To Good Policy Analysis,"Policy development job aid: monitoring and assessment 
This tool will help you determine whether your performance objectives are achievable and whether your policy will produce the expected results.
",Job Aids
Planning Public Opinion Research,"Public opinion research (POR) helps the government understand the views of Canadians and identify their needs and expectations. The results are used to develop policies, programs, services, and initiatives; measure progress in improving service quality; and plan and evaluate communications, marketing, advertising, and other activities.",Job Aids
Preparing a Two-Minute Briefing ,Job aid for delivering an effective two minute briefing.,Job Aids
Processing an Access to Information and Privacy Request: One Step at a Time,Processing an Access to Information and Privacy Request: One Step at a Time,Job Aids
Procurement Glossary of Acronyms and Initialisms,Procurement Glossary of Acronyms and Initialisms,Job Aids
Providing Ongoing Feedback,Providing Ongoing Feedback,Job Aids
Public Environment Analysis (PEA) Checklist,Acquire the ability to clearly describe how the plan you are working on fits within the government planning process to meet both short and long term government objectives.,Job Aids
Recover deleted items � Classic View interface,Working with documents and items in GCdocs16 - How to recover deleted items,Job Aids
Rename a document � Classic View interface,Working with documents and items in GCdocs16 - How to rename a document,Job Aids
Requisition Checklist,Requisition Checklist,Job Aids
S001 Fundamentals of Service Excellence,"This resource guide is for supervisors and managers of employees who have taken the course Fundamentals of Service Excellence. It contains information about the course as well as tips and techniques that will help them to support their employees who, upon their return to work after the training, would like to make lasting changes to the way they offer services.",Job Aids
Save search results and queries � Classic View interface,Working with the search features in GCdocs16 - How to save search results and queries,Job Aids
Security Requirements Checklist (SRCL),Security Requirements Checklist (SRCL),Job Aids
Selecting Policy Instruments,"Policy development job aid: consultation and participation
This tool will allow you to determine the most appropriate combination of instruments to implement your policy. 
",Job Aids
Self-assessment Tool for Official Languages Best Practices ,"This self-assessment tool was designed to promote a workplace in which all employees are fully engaged in 
official languages issues; a workplace where everyone recognizes and integrates this linguistic duality into their daily work.",Job Aids
Send email links � Classic View interface,Working with documents and items in GCdocs16 - How to send email links,Job Aids
Statement of Work Checklist,Statement of Work Checklist,Job Aids
TBS Departmental Guiding Principles on Skip-Level Meetings for TBS Managers/Supervisors and Employees,"This document provides practical advice to managers/supervisors and employees of the Treasury Board of Canada Secretariat (TBS) on how to plan, conduct and prepare for effective skip-level meetings. A step-by-step overview (see Appendix A) and questions and answers have also been developed to provide support (see Appendix F).

Although this document was developed for the employees of the Treasury Board Secretariat, it can certainly be used as a model in other departments and agencies.",Job Aids
Telling A Story,"Policy development job aid: story-telling and decision-making 
This tool will allow you to communicate effectively in submitting Memorandum to Cabinet, making Treasury Board submissions, or submitting documents to senior management on a policy you developed and wish to have approved.
",Job Aids
The essentials of financial responsibilities as public servants,Here are a few statements and directives to guide your actions regarding your financial responsibilities as a public servant. Consider how you can be proactive with the essentials of finance.,Job Aids
Tips for Having Constructive Performance Conversations,Tips for Having Constructive Conversations,Job Aids
Understanding types of communication plans,Acquire the ability to clearly describe how the plan you are working on fits within the government planning process to meet both short and long term government objectives.,Job Aids
What to do in case of extended sick leave?,What to do in case of extended sick leave?,Job Aids
What You Need to Know About Skip-Level Meetings,A skip-level meeting is a meeting of a manager and a team without the presence of the team�s immediate supervisor. Skip-level meetings provide an opportunity for management to build more effective relationships with employees and to engage and motivate them. ,Job Aids
Work with search results � Classic View interface,Working with the search features in GCdocs16 - How to work with search results,Job Aids
Add and remove shortcuts in GCdocs16 - Smart View interface ,Working with containers in GCdocs16 - How to add and remove shortcuts,Job Aids
Add and remove Web addresses in GCdocs16 - Smart View interface,Working with containers in GCdocs16 - How to add and remove Web addresses,Job Aids
Working with Favorites in GCdocs16 - Smart View interface,"Working with containers in GCdocs16 - How to create, add items to, and remove Favorites ",Job Aids
Work with search results � Smart View interface,Working with the search features in GCdocs16 - How to work with search results,Job Aids
Working with versions in GCdocs16 � Smart View interface,Working with Version Control in GCdocs16 - Working with versions,Job Aids
Legislation Communications Guidelines,,Job Aids
Change Management - Managing the Transition to GCdocs series,,Job Aids
What managing a transition really means,This first job aid in the Managing the Transition to GCdocs series explores the difference between change and transition; the emotional phases of a transition; factors and measures of success; and common pitfalls of managing a transition.,Job Aids
"The role of a change leader
",This second job aid in the Managing the Transition to GCdocs series explores your role as a change leader; how it differs from a change agent; and the importance of integrating change management with project management.,Job Aids
"The change journey roadmap, steps and key activities (infographic)","This third job aid in the Managing the Transition to GCdocs series is an infographic showing the change journey roadmap of change project phases, and the correlation of someone's awareness level, their emotional perspective and their level of commitment to a change. The steps and key activities in a change project are also shown. ",Job Aids
"Steps to managing a transition
",This fourth job aid in the Managing the Transition to GCdocs series explores the steps to effectively manage the transition to GCdocs.,Job Aids
"Identifying your GCdocs audiences
","This fifth job aid in the Managing the Transition to GCdocs series explores the audiences affected by the implementation of GCdocs, their influence level, and how to prioritize them.",Job Aids
"Assessing the GCdocs change challenge
",This sixth job aid in the Managing the Transition to GCdocs series explores the factors that must be considered when assessing the GCdocs change challenge.,Job Aids
"Worksheet on change impacts
",This seventh job aid in the Managing the Transition to GCdocsseries is a worksheet to identify what impacts the implementation of GCdocs has on an audience.,Job Aids
"Worksheet on change readiness
","This eighth job aid in the Managing the Transition to GCdocsseries is a tool to assess the level of change readiness in yourself or an audience, and identify the actions to be taken to increase awareness and understanding of GCdocs.",Job Aids
"Worksheet on change challenges
","This ninth job aid in the Managing the Transition to GCdocs series is a tool to assist in prioritizing your audiences, and to provide valuable information for your integrated change management plan.",Job Aids
"Telling the GCdocs change story
",This 10th job aid in the Managing the Transition to GCdocs series explores the importance of telling the change story and how to do it effectively.,Job Aids
"Integrated change management plan
","This 11th job aid in the Managing the Transition to GCdocs series explores the importance of an integrated change management plan, and actions to take for different audience types.",Job Aids
Change Management - Fostering the Use of GCdocs series,,Job Aids
"Your role as a GCdocs resource person
","This first job aid in the Fostering the Use of GCdocs series explores the key activities and various roles of a GCdocs resource person.

",Job Aids
"Your role as a GCdocs resource person (infographic)
",This second job aid in the Fostering the Use of GCdocs series highlights how the role of a GCdocs resource person changes with an audience's increased change readiness.,Job Aids
"Adapting your role and communication style
","This third job aid in the Fostering the Use of GCdocs series explores the importance of aligning your role, communication style and type of engagement activity to your audience�s level of change readiness.",Job Aids
"Encouraging dialogue and participation
","This fourth job aid in the Fostering the Use of GCdocs series provides tips, tricks and sample questions for encouraging dialogue and participation.",Job Aids
"Understanding your GCdocs audience
",This fifth job aid in the Fostering the Use of GCdocs series explores practical ways to better understand your GCdocs audience.,Job Aids
"Worksheet on preparing your change story
",This sixth job aid in the Fostering the Use of GCdocs series is a worksheet to help prepare your change story for different audiences.,Job Aids
"Checklist to help you get ready
",This seventh job aid in the Fostering the Use of GCdocs series is a checklist to help a GCdocs resource person prepare and carry out a support activity for an audience.,Job Aids
"Description of key engagement forums
","This eighth job aid in the Fostering the Use of GCdocs series explores different types of key engagement forums to create awareness and increase understanding, encourage participation/involvement and dialogue and create empowerment.",Job Aids
"Listening with your heart and your head to assess audience feedback
","This ninth job aid in the Fostering the Use of GCdocs series explores how to listen with your heart and your head, to assess audience feedback.",Job Aids
"Dealing with the resistance to change
",This 10th job aid in the Fostering the Use of Gcdocs series provides techniques to identify and deal with resistance to change.,Job Aids
Facilitation Tips for GCdocs Trainers,,Job Aids
Advantages of various training methods,"This job aid presents the advantages of various training methods, in addition to when and how to use each one.",Job Aids
Training summary sheet,This job aid provides a summary of questions and answers about training.,Job Aids
Checklist for classroom organization,This job aid is a checklist of what to consider when choosing or setting up a training classroom.,Job Aids
Managing your presentation anxiety,This job aid presents tips to help you manage the stress associated with being in front of a group.,Job Aids
Time management in the classroom,"This job aid presents a collection of tips to keep your training session on schedule, as well as some post-session tips for ongoing improvement.",Job Aids
The course introduction,This job aid explores the course introduction's importance.,Job Aids
Icebreakers,This job aid explores the importance of icebreakers.,Job Aids
Visual aids,This job aids explores how visual aids support content.,Job Aids
Encouraging dialogue and participation through effective questioning,This job aid explores effective questioning's importance in encouraging dialogue and participation.,Job Aids
Addressing difficult behaviours in the classroom,This job aid explores how to address difficult behaviours in the classroom.,Job Aids
A self-assessment for after the session,This job aid is a worksheet to help a facilitator assess their performance in delivering a session.,Job Aids
,,
,,
,,
Video List,,
,,
2016 Manion Lecture - Values and Ethics: The Mark of Effective Leadership,"The 2016 Manion Lecture, held in May at the Canadian Museum of History, explored values and ethics as the mark of effective leadership. In this recording, Dick Pound, an international leader whose commitment to ethics and integrity are recognized worldwide, shares how his experiences have shaped the leader he is today. He also discusses ways to manage the ethical challenges and complexities that all leaders must face. Michael Wernick, Clerk of the Privy Council and Secretary to the Cabinet, also contributes remarks on this important topic.

As one of Canada's foremost figures in the competitive and high-profile environment of international sport, Mr. Pound has led a distinguished and varied career as a competitive swimmer, lawyer, first president of the World Anti-Doping Agency and Chancellor Emeritus of McGill University.

As transformation progresses, questions of values and ethics will remain crucial ones for the public service. Almost twenty years after John Tait's landmark report on the subject, the dialogue is still ongoing. This lecture offers a unique opportunity to gain insight into a fundamental dimension of the leadership role.",Video
#GCMentalHealth: Tips for Managers,"Members of the Federal Speakers� Bureau on Healthy Workplaces (Office of the Chief Human Resources Officer, Treasury Board of Canada Secretariat) share their lived experience insights into how managers can support employees struggling with mental health at work.

Produced by the Canada School of Public Service and the Centre of Expertise on Mental Health in the Workplace (Treasury Board of Canada Secretariat), in association with the Canadian Innovation Centre for Mental Health in the Workplace (Innovation, Science and Economic Development Canada).
",Video
#GCMentalHealth: Supporting a Colleague,"Members of the Federal Speakers� Bureau on Healthy Workplaces (Office of the Chief Human Resources Officer, Treasury Board of Canada Secretariat) share what type of support from co-workers they found most helpful when they experienced mental health issues at work.

Produced by the Canada School of Public Service and the Centre of Expertise on Mental Health in the Workplace (Treasury Board of Canada Secretariat), in association with the Canadian Innovation Centre for Mental Health in the Workplace (Innovation, Science and Economic Development Canada).
",Video
#GCMentalHealth: You Are Not Alone,"Members of the Federal Speakers' Bureau on Healthy Workplaces (Office of the Chief Human Resources Officer, Treasury Board of Canada Secretariat) discuss the benefits of talking openly about mental health and the importance of reaching out for help.",Video
2017 Manion Lecture�Strengthening Trust in Canada: the Role of the Public Service,,Video
360� Evaluation: Segment 1 - Objectives and Structure,"Produced by the Canada School of Public Service and the Centre of Expertise on Mental Health in the Workplace (Treasury Board of Canada Secretariat), in association with the Canadian Innovation Centre for Mental Health in the Workplace (Innovation, Science and Economic Development Canada).",Video
360� Evaluation: Segment 2 - How Does It Work?,This video offers  an overview of each of the component of the 360� evaluation process.,Video
360� Evaluation: Segment 3 - The Process,This video offers a step by step walkthrough of the administrative process.,Video
360� Evaluation: Segment 4 - The Feedback Session,This video offers insights on what to expect from the feedback session with a debriefer.,Video
A Behavioral Perspective on Policy & Scarcity � Keynotes with Dr. Eldar Shafir,"Dr. Eldar Shafir presents studies on the psychological effect of scarcity on people with low income, and how behavioral science can be effectively used to nudge people into actions that have a positive impact on their lives.

Eldar Shafir is the William Stewart Tod Professor of Psychology and Public Affairs at Princeton University, and co-founder and scientific director at ideas42, a social science R&D lab. He studies decision-making, cognitive science, and behavioral economics. His recent research has focused on decision-making in contexts of poverty and on the application of behavioral research to policy.",Video
